video,subject,action,viewpoint
a03/v01_s01_e04.avi,1,3,1
a03/v01_s09_e00.avi,9,3,1
a03/v02_s09_e00.avi,9,3,2
a03/v02_s01_e00.avi,1,3,2
a03/v01_s01_e00.avi,1,3,1
a03/v01_s09_e02.avi,9,3,1
a03/v02_s09_e02.avi,9,3,2
a03/v01_s04_e03.avi,4,3,1
a03/v02_s04_e03.avi,4,3,2
a03/v01_s07_e03.avi,7,3,1
a03/v02_s07_e03.avi,7,3,2
a03/v01_s02_e01.avi,2,3,1
a03/v02_s02_e01.avi,2,3,2
a03/v01_s03_e02.avi,3,3,1
a03/v02_s03_e02.avi,3,3,2
a03/v01_s10_e02.avi,10,3,1
a03/v02_s10_e02.avi,10,3,2
a03/v01_s03_e05.avi,3,3,1
a03/v02_s03_e05.avi,3,3,2
a03/v02_s03_e03.avi,3,3,2
a03/v01_s03_e03.avi,3,3,1
a03/v02_s07_e04.avi,7,3,2
a03/v01_s07_e04.avi,7,3,1
a03/v02_s08_e02.avi,8,3,2
a03/v01_s08_e02.avi,8,3,1
a03/v01_s04_e01.avi,4,3,1
a03/v02_s04_e01.avi,4,3,2
a03/v01_s08_e03.avi,8,3,1
a03/v02_s08_e03.avi,8,3,2
a03/v02_s03_e00.avi,3,3,2
a03/v01_s03_e00.avi,3,3,1
a03/v01_s03_e04.avi,3,3,1
a03/v02_s03_e04.avi,3,3,2
a03/v02_s06_e02.avi,6,3,2
a03/v01_s06_e02.avi,6,3,1
a03/v01_s02_e02.avi,2,3,1
a03/v02_s02_e02.avi,2,3,2
a03/v01_s04_e04.avi,4,3,1
a03/v02_s04_e04.avi,4,3,2
a03/v01_s01_e03.avi,1,3,1
a03/v02_s01_e03.avi,1,3,2
a03/v01_s06_e00.avi,6,3,1
a03/v02_s06_e00.avi,6,3,2
a04/v01_s10_e00.avi,10,4,1
a04/v02_s10_e00.avi,10,4,2
a04/v01_s08_e04.avi,8,4,1
a04/v02_s08_e04.avi,8,4,2
a04/v01_s09_e03.avi,9,4,1
a04/v02_s09_e03.avi,9,4,2
a04/v01_s08_e00.avi,8,4,1
a04/v02_s08_e00.avi,8,4,2
a04/v02_s01_e01.avi,1,4,2
a04/v01_s01_e01.avi,1,4,1
a04/v02_s03_e01.avi,3,4,2
a04/v01_s03_e01.avi,3,4,1
a04/v01_s07_e02.avi,7,4,1
a04/v02_s07_e02.avi,7,4,2
a04/v01_s10_e01.avi,10,4,1
a04/v02_s10_e01.avi,10,4,2
a04/v01_s02_e00.avi,2,4,1
a04/v02_s02_e00.avi,2,4,2
a04/v02_s02_e03.avi,2,4,2
a04/v01_s02_e03.avi,2,4,1
a04/v01_s08_e01.avi,8,4,1
a04/v02_s08_e01.avi,8,4,2
a04/v02_s10_e03.avi,10,4,2
a04/v01_s10_e03.avi,10,4,1
a04/v01_s09_e01.avi,9,4,1
a04/v02_s09_e01.avi,9,4,2
a04/v01_s01_e02.avi,1,4,1
a04/v02_s01_e02.avi,1,4,2
a04/v02_s04_e00.avi,4,4,2
a04/v01_s04_e00.avi,4,4,1
a04/v02_s07_e01.avi,7,4,2
a04/v01_s07_e01.avi,7,4,1
a04/v02_s04_e02.avi,4,4,2
a04/v01_s04_e02.avi,4,4,1
a04/v01_s07_e00.avi,7,4,1
a04/v02_s07_e00.avi,7,4,2
a04/v01_s02_e04.avi,2,4,1
a04/v02_s02_e04.avi,2,4,2
a04/v01_s06_e04.avi,6,4,1
a04/v02_s06_e04.avi,6,4,2
a04/v02_s01_e04.avi,1,4,2
a04/v01_s01_e04.avi,1,4,1
a04/v01_s09_e00.avi,9,4,1
a04/v02_s09_e00.avi,9,4,2
a04/v02_s01_e00.avi,1,4,2
a04/v01_s01_e00.avi,1,4,1
a04/v02_s01_e05.avi,1,4,2
a04/v01_s01_e05.avi,1,4,1
a04/v01_s09_e02.avi,9,4,1
a04/v02_s09_e02.avi,9,4,2
a04/v01_s04_e03.avi,4,4,1
a04/v02_s04_e03.avi,4,4,2
a04/v01_s07_e03.avi,7,4,1
a04/v02_s07_e03.avi,7,4,2
a04/v01_s02_e01.avi,2,4,1
a04/v02_s02_e01.avi,2,4,2
a04/v01_s03_e02.avi,3,4,1
a04/v02_s03_e02.avi,3,4,2
a04/v01_s10_e02.avi,10,4,1
a04/v02_s10_e02.avi,10,4,2
a04/v02_s06_e03.avi,6,4,2
a04/v01_s06_e03.avi,6,4,1
a04/v02_s03_e03.avi,3,4,2
a04/v01_s03_e03.avi,3,4,1
a04/v01_s09_e04.avi,9,4,1
a04/v02_s09_e04.avi,9,4,2
a04/v02_s07_e04.avi,7,4,2
a04/v01_s07_e04.avi,7,4,1
a04/v01_s06_e01.avi,6,4,1
a04/v02_s06_e01.avi,6,4,2
a04/v02_s08_e02.avi,8,4,2
a04/v01_s08_e02.avi,8,4,1
a04/v01_s04_e01.avi,4,4,1
a04/v02_s04_e01.avi,4,4,2
a04/v01_s08_e03.avi,8,4,1
a04/v02_s08_e03.avi,8,4,2
a04/v02_s03_e00.avi,3,4,2
a04/v01_s03_e00.avi,3,4,1
a04/v01_s03_e04.avi,3,4,1
a04/v02_s03_e04.avi,3,4,2
a04/v02_s06_e02.avi,6,4,2
a04/v01_s06_e02.avi,6,4,1
a04/v01_s02_e02.avi,2,4,1
a04/v02_s02_e02.avi,2,4,2
a04/v01_s04_e04.avi,4,4,1
a04/v02_s04_e04.avi,4,4,2
a04/v01_s01_e03.avi,1,4,1
a04/v02_s01_e03.avi,1,4,2
a04/v01_s06_e00.avi,6,4,1
a04/v02_s06_e00.avi,6,4,2
a05/v01_s10_e00.avi,10,5,1
a05/v02_s10_e00.avi,10,5,2
a05/v01_s08_e04.avi,8,5,1
a05/v02_s08_e04.avi,8,5,2
a05/v01_s09_e03.avi,9,5,1
a05/v02_s09_e03.avi,9,5,2
a05/v01_s08_e00.avi,8,5,1
a05/v02_s08_e00.avi,8,5,2
a05/v02_s01_e01.avi,1,5,2
a05/v01_s01_e01.avi,1,5,1
a05/v02_s03_e01.avi,3,5,2
a05/v01_s03_e01.avi,3,5,1
a05/v01_s07_e02.avi,7,5,1
a05/v02_s07_e02.avi,7,5,2
a05/v01_s10_e01.avi,10,5,1
a05/v02_s10_e01.avi,10,5,2
a05/v01_s02_e00.avi,2,5,1
a05/v02_s02_e00.avi,2,5,2
a05/v02_s02_e03.avi,2,5,2
a05/v01_s02_e03.avi,2,5,1
a05/v01_s08_e01.avi,8,5,1
a05/v02_s08_e01.avi,8,5,2
a05/v02_s10_e03.avi,10,5,2
a05/v01_s10_e03.avi,10,5,1
a05/v01_s09_e01.avi,9,5,1
a05/v02_s09_e01.avi,9,5,2
a05/v01_s01_e02.avi,1,5,1
a05/v02_s01_e02.avi,1,5,2
a05/v02_s04_e00.avi,4,5,2
a05/v01_s04_e00.avi,4,5,1
a05/v02_s07_e01.avi,7,5,2
a05/v01_s07_e01.avi,7,5,1
a05/v02_s04_e02.avi,4,5,2
a05/v01_s04_e02.avi,4,5,1
a05/v01_s02_e04.avi,2,5,1
a05/v02_s02_e04.avi,2,5,2
a05/v02_s01_e04.avi,1,5,2
a05/v01_s01_e04.avi,1,5,1
a05/v01_s10_e04.avi,10,5,1
a05/v02_s10_e04.avi,10,5,2
a05/v01_s09_e00.avi,9,5,1
a05/v02_s09_e00.avi,9,5,2
a05/v02_s01_e00.avi,1,5,2
a05/v01_s01_e00.avi,1,5,1
a05/v01_s09_e02.avi,9,5,1
a05/v02_s09_e02.avi,9,5,2
a05/v01_s04_e03.avi,4,5,1
a05/v02_s04_e03.avi,4,5,2
a05/v01_s07_e03.avi,7,5,1
a05/v02_s07_e03.avi,7,5,2
a05/v01_s02_e01.avi,2,5,1
a05/v02_s02_e01.avi,2,5,2
a05/v01_s03_e02.avi,3,5,1
a05/v02_s03_e02.avi,3,5,2
a05/v01_s10_e02.avi,10,5,1
a05/v02_s10_e02.avi,10,5,2
a05/v02_s06_e03.avi,6,5,2
a05/v01_s06_e03.avi,6,5,1
a05/v02_s03_e03.avi,3,5,2
a05/v01_s03_e03.avi,3,5,1
a05/v01_s09_e04.avi,9,5,1
a05/v02_s09_e04.avi,9,5,2
a05/v02_s07_e04.avi,7,5,2
a05/v01_s07_e04.avi,7,5,1
a05/v01_s06_e01.avi,6,5,1
a05/v02_s06_e01.avi,6,5,2
a05/v02_s08_e02.avi,8,5,2
a05/v01_s08_e02.avi,8,5,1
a05/v01_s04_e01.avi,4,5,1
a05/v02_s04_e01.avi,4,5,2
a05/v01_s08_e03.avi,8,5,1
a05/v02_s08_e03.avi,8,5,2
a05/v02_s03_e00.avi,3,5,2
a05/v01_s03_e00.avi,3,5,1
a05/v01_s03_e04.avi,3,5,1
a05/v02_s03_e04.avi,3,5,2
a05/v02_s06_e02.avi,6,5,2
a05/v01_s06_e02.avi,6,5,1
a05/v01_s02_e02.avi,2,5,1
a05/v02_s02_e02.avi,2,5,2
a05/v01_s04_e04.avi,4,5,1
a05/v02_s04_e04.avi,4,5,2
a05/v01_s01_e03.avi,1,5,1
a05/v02_s01_e03.avi,1,5,2
a05/v01_s06_e00.avi,6,5,1
a05/v02_s06_e00.avi,6,5,2
a06/v01_s10_e00.avi,10,6,1
a06/v02_s10_e00.avi,10,6,2
a06/v01_s08_e04.avi,8,6,1
a06/v02_s08_e04.avi,8,6,2
a06/v01_s09_e03.avi,9,6,1
a06/v02_s09_e03.avi,9,6,2
a06/v01_s08_e00.avi,8,6,1
a06/v02_s08_e00.avi,8,6,2
a06/v02_s01_e01.avi,1,6,2
a06/v01_s01_e01.avi,1,6,1
a06/v02_s03_e01.avi,3,6,2
a06/v01_s03_e01.avi,3,6,1
a06/v01_s07_e02.avi,7,6,1
a06/v02_s07_e02.avi,7,6,2
a06/v01_s10_e01.avi,10,6,1
a06/v02_s10_e01.avi,10,6,2
a06/v01_s02_e00.avi,2,6,1
a06/v02_s02_e00.avi,2,6,2
a06/v02_s02_e03.avi,2,6,2
a06/v01_s02_e03.avi,2,6,1
a06/v01_s08_e01.avi,8,6,1
a06/v02_s08_e01.avi,8,6,2
a06/v02_s10_e03.avi,10,6,2
a06/v01_s10_e03.avi,10,6,1
a06/v01_s09_e01.avi,9,6,1
a06/v02_s09_e01.avi,9,6,2
a06/v01_s01_e02.avi,1,6,1
a06/v02_s01_e02.avi,1,6,2
a06/v02_s04_e00.avi,4,6,2
a06/v01_s04_e00.avi,4,6,1
a06/v02_s07_e01.avi,7,6,2
a06/v01_s07_e01.avi,7,6,1
a06/v02_s04_e02.avi,4,6,2
a06/v01_s04_e02.avi,4,6,1
a06/v01_s07_e00.avi,7,6,1
a06/v02_s07_e00.avi,7,6,2
a06/v01_s02_e04.avi,2,6,1
a06/v02_s02_e04.avi,2,6,2
a06/v01_s06_e04.avi,6,6,1
a06/v02_s06_e04.avi,6,6,2
a06/v02_s01_e04.avi,1,6,2
a06/v01_s01_e04.avi,1,6,1
a06/v01_s10_e04.avi,10,6,1
a06/v02_s10_e04.avi,10,6,2
a06/v01_s09_e00.avi,9,6,1
a06/v02_s09_e00.avi,9,6,2
a06/v02_s01_e00.avi,1,6,2
a06/v01_s01_e00.avi,1,6,1
a06/v01_s09_e02.avi,9,6,1
a06/v02_s09_e02.avi,9,6,2
a06/v01_s04_e03.avi,4,6,1
a06/v02_s04_e03.avi,4,6,2
a06/v01_s07_e03.avi,7,6,1
a06/v02_s07_e03.avi,7,6,2
a06/v01_s02_e01.avi,2,6,1
a06/v02_s02_e01.avi,2,6,2
a06/v01_s03_e02.avi,3,6,1
a06/v02_s03_e02.avi,3,6,2
a06/v01_s10_e02.avi,10,6,1
a06/v02_s10_e02.avi,10,6,2
a06/v02_s06_e03.avi,6,6,2
a06/v01_s06_e03.avi,6,6,1
a06/v02_s03_e03.avi,3,6,2
a06/v01_s03_e03.avi,3,6,1
a06/v01_s09_e04.avi,9,6,1
a06/v02_s09_e04.avi,9,6,2
a06/v02_s07_e04.avi,7,6,2
a06/v01_s07_e04.avi,7,6,1
a06/v01_s06_e01.avi,6,6,1
a06/v02_s06_e01.avi,6,6,2
a06/v02_s08_e02.avi,8,6,2
a06/v01_s08_e02.avi,8,6,1
a06/v01_s04_e01.avi,4,6,1
a06/v02_s04_e01.avi,4,6,2
a06/v01_s08_e03.avi,8,6,1
a06/v02_s08_e03.avi,8,6,2
a06/v02_s03_e00.avi,3,6,2
a06/v01_s03_e00.avi,3,6,1
a06/v01_s03_e04.avi,3,6,1
a06/v02_s03_e04.avi,3,6,2
a06/v02_s06_e02.avi,6,6,2
a06/v01_s06_e02.avi,6,6,1
a06/v01_s02_e02.avi,2,6,1
a06/v02_s02_e02.avi,2,6,2
a06/v01_s04_e04.avi,4,6,1
a06/v02_s04_e04.avi,4,6,2
a06/v01_s01_e03.avi,1,6,1
a06/v02_s01_e03.avi,1,6,2
a06/v01_s06_e00.avi,6,6,1
a06/v02_s06_e00.avi,6,6,2
a08/v01_s10_e00.avi,10,8,1
a08/v02_s10_e00.avi,10,8,2
a08/v01_s08_e04.avi,8,8,1
a08/v02_s08_e04.avi,8,8,2
a08/v01_s09_e03.avi,9,8,1
a08/v02_s09_e03.avi,9,8,2
a08/v01_s08_e00.avi,8,8,1
a08/v02_s08_e00.avi,8,8,2
a08/v02_s01_e01.avi,1,8,2
a08/v01_s01_e01.avi,1,8,1
a08/v02_s03_e01.avi,3,8,2
a08/v01_s03_e01.avi,3,8,1
a08/v01_s07_e02.avi,7,8,1
a08/v02_s07_e02.avi,7,8,2
a08/v01_s10_e01.avi,10,8,1
a08/v02_s10_e01.avi,10,8,2
a08/v01_s02_e00.avi,2,8,1
a08/v02_s02_e00.avi,2,8,2
a08/v02_s02_e03.avi,2,8,2
a08/v01_s02_e03.avi,2,8,1
a08/v01_s08_e01.avi,8,8,1
a08/v02_s08_e01.avi,8,8,2
a08/v02_s10_e03.avi,10,8,2
a08/v01_s10_e03.avi,10,8,1
a08/v01_s09_e01.avi,9,8,1
a08/v02_s09_e01.avi,9,8,2
a08/v01_s01_e02.avi,1,8,1
a08/v02_s01_e02.avi,1,8,2
a08/v02_s04_e00.avi,4,8,2
a08/v01_s04_e00.avi,4,8,1
a08/v02_s07_e01.avi,7,8,2
a08/v01_s07_e01.avi,7,8,1
a08/v02_s04_e02.avi,4,8,2
a08/v01_s04_e02.avi,4,8,1
a08/v01_s07_e00.avi,7,8,1
a08/v02_s07_e00.avi,7,8,2
a08/v01_s02_e04.avi,2,8,1
a08/v02_s02_e04.avi,2,8,2
a08/v02_s01_e04.avi,1,8,2
a08/v01_s01_e04.avi,1,8,1
a08/v01_s10_e04.avi,10,8,1
a08/v02_s10_e04.avi,10,8,2
a08/v01_s09_e00.avi,9,8,1
a08/v02_s09_e00.avi,9,8,2
a08/v02_s01_e00.avi,1,8,2
a08/v01_s01_e00.avi,1,8,1
a08/v01_s09_e02.avi,9,8,1
a08/v02_s09_e02.avi,9,8,2
a08/v01_s04_e03.avi,4,8,1
a08/v02_s04_e03.avi,4,8,2
a08/v01_s07_e03.avi,7,8,1
a08/v02_s07_e03.avi,7,8,2
a08/v01_s02_e01.avi,2,8,1
a08/v02_s02_e01.avi,2,8,2
a08/v01_s03_e02.avi,3,8,1
a08/v02_s03_e02.avi,3,8,2
a08/v01_s10_e02.avi,10,8,1
a08/v02_s10_e02.avi,10,8,2
a08/v02_s06_e03.avi,6,8,2
a08/v01_s06_e03.avi,6,8,1
a08/v02_s03_e03.avi,3,8,2
a08/v01_s03_e03.avi,3,8,1
a08/v01_s09_e04.avi,9,8,1
a08/v02_s09_e04.avi,9,8,2
a08/v01_s06_e01.avi,6,8,1
a08/v02_s06_e01.avi,6,8,2
a08/v02_s08_e02.avi,8,8,2
a08/v01_s08_e02.avi,8,8,1
a08/v01_s04_e01.avi,4,8,1
a08/v02_s04_e01.avi,4,8,2
a08/v01_s08_e03.avi,8,8,1
a08/v02_s08_e03.avi,8,8,2
a08/v02_s03_e00.avi,3,8,2
a08/v01_s03_e00.avi,3,8,1
a08/v01_s03_e04.avi,3,8,1
a08/v02_s03_e04.avi,3,8,2
a08/v02_s06_e02.avi,6,8,2
a08/v01_s06_e02.avi,6,8,1
a08/v01_s02_e02.avi,2,8,1
a08/v02_s02_e02.avi,2,8,2
a08/v01_s04_e04.avi,4,8,1
a08/v02_s04_e04.avi,4,8,2
a08/v01_s01_e03.avi,1,8,1
a08/v02_s01_e03.avi,1,8,2
a08/v01_s06_e00.avi,6,8,1
a08/v02_s06_e00.avi,6,8,2
a09/v01_s10_e00.avi,10,9,1
a09/v02_s10_e00.avi,10,9,2
a09/v01_s08_e04.avi,8,9,1
a09/v02_s08_e04.avi,8,9,2
a09/v01_s09_e03.avi,9,9,1
a09/v02_s09_e03.avi,9,9,2
a09/v01_s08_e00.avi,8,9,1
a09/v02_s08_e00.avi,8,9,2
a09/v02_s01_e01.avi,1,9,2
a09/v01_s01_e01.avi,1,9,1
a09/v02_s03_e01.avi,3,9,2
a09/v01_s03_e01.avi,3,9,1
a09/v01_s07_e02.avi,7,9,1
a09/v02_s07_e02.avi,7,9,2
a09/v01_s10_e01.avi,10,9,1
a09/v02_s10_e01.avi,10,9,2
a09/v01_s02_e00.avi,2,9,1
a09/v02_s02_e00.avi,2,9,2
a09/v02_s02_e03.avi,2,9,2
a09/v01_s02_e03.avi,2,9,1
a09/v01_s08_e01.avi,8,9,1
a09/v02_s08_e01.avi,8,9,2
a09/v02_s10_e03.avi,10,9,2
a09/v01_s10_e03.avi,10,9,1
a09/v01_s09_e01.avi,9,9,1
a09/v02_s09_e01.avi,9,9,2
a09/v01_s01_e02.avi,1,9,1
a09/v02_s01_e02.avi,1,9,2
a09/v02_s04_e00.avi,4,9,2
a09/v01_s04_e00.avi,4,9,1
a09/v02_s07_e01.avi,7,9,2
a09/v01_s07_e01.avi,7,9,1
a09/v02_s04_e02.avi,4,9,2
a09/v01_s04_e02.avi,4,9,1
a09/v01_s07_e00.avi,7,9,1
a09/v02_s07_e00.avi,7,9,2
a09/v01_s02_e04.avi,2,9,1
a09/v02_s02_e04.avi,2,9,2
a09/v02_s01_e04.avi,1,9,2
a09/v01_s01_e04.avi,1,9,1
a09/v01_s10_e04.avi,10,9,1
a09/v02_s10_e04.avi,10,9,2
a09/v01_s09_e00.avi,9,9,1
a09/v02_s09_e00.avi,9,9,2
a09/v02_s01_e00.avi,1,9,2
a09/v01_s01_e00.avi,1,9,1
a09/v01_s09_e02.avi,9,9,1
a09/v02_s09_e02.avi,9,9,2
a09/v01_s04_e03.avi,4,9,1
a09/v02_s04_e03.avi,4,9,2
a09/v01_s07_e03.avi,7,9,1
a09/v02_s07_e03.avi,7,9,2
a09/v01_s02_e01.avi,2,9,1
a09/v02_s02_e01.avi,2,9,2
a09/v01_s03_e02.avi,3,9,1
a09/v02_s03_e02.avi,3,9,2
a09/v01_s10_e02.avi,10,9,1
a09/v02_s10_e02.avi,10,9,2
a09/v02_s06_e03.avi,6,9,2
a09/v01_s06_e03.avi,6,9,1
a09/v02_s03_e03.avi,3,9,2
a09/v01_s03_e03.avi,3,9,1
a09/v01_s09_e04.avi,9,9,1
a09/v02_s09_e04.avi,9,9,2
a09/v01_s06_e01.avi,6,9,1
a09/v02_s06_e01.avi,6,9,2
a09/v02_s08_e02.avi,8,9,2
a09/v01_s08_e02.avi,8,9,1
a09/v01_s04_e01.avi,4,9,1
a09/v02_s04_e01.avi,4,9,2
a09/v01_s08_e03.avi,8,9,1
